lower_bound	P_density_paired	P_density_unpaired
0	0.519952587909917	0.138888888888889
0.100000000000000	0.192414065586725	0.103864734299517
0.200000000000000	0.0849466613986567	0.0821256038647343
0.300000000000000	0.0525483998419597	0.0911835748792271
0.400000000000000	0.0339786645594627	0.0694444444444445
0.500000000000000	0.0288423548004741	0.0670289855072464
0.600000000000000	0.0169893322797313	0.0664251207729469
0.700000000000000	0.0146187277755828	0.0597826086956522
0.800000000000000	0.0114579217700514	0.0652173913043478
0.900000000000000	0.00434610825760569	0.0477053140096618
1	0.00632161201106282	0.0307971014492754
1.10000000000000	0.00750691426313710	0.0332125603864734
1.20000000000000	0.00474120900829712	0.0187198067632850
1.30000000000000	0.00158040300276571	0.0241545893719807
1.40000000000000	0.00316080600553141	0.0138888888888889
1.50000000000000	0.00237060450414856	0.0108695652173913
1.60000000000000	0.00276570525483998	0.00483091787439614
1.70000000000000	0.00158040300276571	0.00845410628019324
1.80000000000000	0.000790201501382853	0.00845410628019324
1.90000000000000	0.00197550375345713	0.00845410628019324
2	0.000790201501382853	0.00543478260869565
2.10000000000000	0.000395100750691426	0.00301932367149758
2.20000000000000	0.000395100750691426	0.00785024154589372
2.30000000000000	0	0.00301932367149758
2.40000000000000	0.00118530225207428	0.00422705314009662
2.50000000000000	0	0.00241545893719807
2.60000000000000	0	0.00241545893719807
2.70000000000000	0.000790201501382853	0.00181159420289855
2.80000000000000	0.000395100750691426	0.00181159420289855
2.90000000000000	0.000395100750691426	0.00181159420289855
3	0	0.00301932367149758
3.10000000000000	0.000395100750691426	0.000603864734299517
3.20000000000000	0.000790201501382853	0.000603864734299517
3.30000000000000	0	0.000603864734299517
3.40000000000000	0	0.000603864734299517
3.50000000000000	0	0.000603864734299517
3.60000000000000	0	0.000603864734299517
3.70000000000000	0.000395100750691426	0
3.80000000000000	0	0.000603864734299517
3.90000000000000	0	0.000603864734299517
4	0	0.000603864734299517
4.10000000000000	0	0.000603864734299517
4.20000000000000	0	0
4.30000000000000	0	0
4.40000000000000	0	0
4.50000000000000	0	0
4.60000000000000	0	0
4.70000000000000	0	0
4.80000000000000	0.000395100750691426	0
4.90000000000000	0	0
5	0	0.00241545893719807
5.10000000000000	0	0
5.20000000000000	0	0
5.30000000000000	0	0
5.40000000000000	0	0
5.50000000000000	0	0
5.60000000000000	0	0
5.70000000000000	0	0
5.80000000000000	0.000395100750691426	0
5.90000000000000	0	0
6	0	0
6.10000000000000	0	0.000603864734299517
6.20000000000000	0	0
6.30000000000000	0	0
6.40000000000000	0	0
6.50000000000000	0	0
6.60000000000000	0	0
6.70000000000000	0	0
6.80000000000000	0.000395100750691426	0
6.90000000000000	0	0
7	0	0
7.10000000000000	0	0
7.20000000000000	0	0
7.30000000000000	0	0
7.40000000000000	0	0.000603864734299517
7.50000000000000	0	0
7.60000000000000	0	0
7.70000000000000	0	0
7.80000000000000	0	0
7.90000000000000	0	0
8	0	0
8.10000000000000	0	0
8.20000000000000	0	0
8.30000000000000	0	0
8.40000000000000	0	0
8.50000000000000	0	0
8.60000000000000	0	0
8.70000000000000	0	0
8.80000000000000	0	0
8.90000000000000	0	0
9	0	0
9.10000000000000	0	0
9.20000000000000	0	0
9.30000000000000	0	0
9.40000000000000	0	0
9.50000000000000	0	0
9.60000000000000	0	0
9.70000000000000	0	0
9.80000000000000	0	0
9.90000000000000	0	0
10	0	0
10.1000000000000	0	0
10.2000000000000	0	0
10.3000000000000	0	0
10.4000000000000	0	0
10.5000000000000	0	0
10.6000000000000	0	0
10.7000000000000	0	0
10.8000000000000	0	0
10.9000000000000	0	0
11	0	0
11.1000000000000	0	0
11.2000000000000	0	0
11.3000000000000	0	0
11.4000000000000	0	0
11.5000000000000	0	0
11.6000000000000	0	0
11.7000000000000	0	0
11.8000000000000	0	0
11.9000000000000	0	0
12	0	0
12.1000000000000	0	0
12.2000000000000	0	0
12.3000000000000	0	0
12.4000000000000	0	0
12.5000000000000	0	0
12.6000000000000	0	0
12.7000000000000	0	0
12.8000000000000	0	0
12.9000000000000	0	0
13	0	0
13.1000000000000	0	0
13.2000000000000	0	0
13.3000000000000	0	0
13.4000000000000	0	0
13.5000000000000	0	0
13.6000000000000	0	0
13.7000000000000	0	0
13.8000000000000	0	0
13.9000000000000	0	0
14	0	0
14.1000000000000	0	0
14.2000000000000	0	0
14.3000000000000	0	0
14.4000000000000	0	0
14.5000000000000	0	0
14.6000000000000	0	0
14.7000000000000	0	0
14.8000000000000	0	0
14.9000000000000	0	0
15	0	0
15.1000000000000	0	0
15.2000000000000	0	0
15.3000000000000	0	0
15.4000000000000	0	0
15.5000000000000	0	0
15.6000000000000	0	0
15.7000000000000	0	0
15.8000000000000	0	0
15.9000000000000	0	0
16	0	0
16.1000000000000	0	0
16.2000000000000	0	0
16.3000000000000	0	0
16.4000000000000	0	0
16.5000000000000	0	0
16.6000000000000	0	0
16.7000000000000	0	0
16.8000000000000	0	0
16.9000000000000	0	0
17	0	0
17.1000000000000	0	0
17.2000000000000	0	0
17.3000000000000	0	0
17.4000000000000	0	0
17.5000000000000	0	0
17.6000000000000	0	0
17.7000000000000	0	0
17.8000000000000	0	0
17.9000000000000	0	0
18	0	0
18.1000000000000	0	0
18.2000000000000	0	0
18.3000000000000	0	0
18.4000000000000	0	0
18.5000000000000	0	0
18.6000000000000	0	0
18.7000000000000	0	0
18.8000000000000	0	0
18.9000000000000	0	0
19	0	0
19.1000000000000	0	0
19.2000000000000	0	0
19.3000000000000	0	0
19.4000000000000	0	0
19.5000000000000	0	0
19.6000000000000	0	0
19.7000000000000	0	0
19.8000000000000	0	0
19.9000000000000	0	0
20	0	0
