lower_bound	P_density_paired	P_density_unpaired
0	0.575170842824601	0.0893854748603352
0.100000000000000	0.164009111617312	0.115456238361266
0.200000000000000	0.0763097949886105	0.102420856610801
0.300000000000000	0.0432801822323462	0.108007448789572
0.400000000000000	0.0318906605922551	0.0726256983240224
0.500000000000000	0.0318906605922551	0.0707635009310987
0.600000000000000	0.0136674259681093	0.0744878957169460
0.700000000000000	0.0113895216400911	0.0800744878957169
0.800000000000000	0.00911161731207289	0.0595903165735568
0.900000000000000	0.00455580865603645	0.0540037243947858
1	0.00797266514806378	0.0260707635009311
1.10000000000000	0.00797266514806378	0.0409683426443203
1.20000000000000	0.00683371298405467	0.0242085661080074
1.30000000000000	0.00113895216400911	0.0204841713221601
1.40000000000000	0	0.00744878957169460
1.50000000000000	0.00227790432801822	0.0167597765363129
1.60000000000000	0.00341685649202734	0.00558659217877095
1.70000000000000	0.00227790432801822	0.00372439478584730
1.80000000000000	0.00113895216400911	0.00372439478584730
1.90000000000000	0.00113895216400911	0.00931098696461825
2	0	0.00372439478584730
2.10000000000000	0	0.00186219739292365
2.20000000000000	0	0.00186219739292365
2.30000000000000	0	0
2.40000000000000	0.00227790432801822	0
2.50000000000000	0	0.00186219739292365
2.60000000000000	0	0.00186219739292365
2.70000000000000	0	0
2.80000000000000	0	0
2.90000000000000	0.00113895216400911	0
3	0	0
3.10000000000000	0	0.00186219739292365
3.20000000000000	0	0
3.30000000000000	0	0
3.40000000000000	0	0
3.50000000000000	0	0
3.60000000000000	0	0
3.70000000000000	0.00113895216400911	0
3.80000000000000	0	0
3.90000000000000	0	0
4	0	0
4.10000000000000	0	0
4.20000000000000	0	0
4.30000000000000	0	0
4.40000000000000	0	0
4.50000000000000	0	0
4.60000000000000	0	0
4.70000000000000	0	0
4.80000000000000	0	0
4.90000000000000	0	0
5	0	0.00186219739292365
5.10000000000000	0	0
5.20000000000000	0	0
5.30000000000000	0	0
5.40000000000000	0	0
5.50000000000000	0	0
5.60000000000000	0	0
5.70000000000000	0	0
5.80000000000000	0	0
5.90000000000000	0	0
6	0	0
6.10000000000000	0	0
6.20000000000000	0	0
6.30000000000000	0	0
6.40000000000000	0	0
6.50000000000000	0	0
6.60000000000000	0	0
6.70000000000000	0	0
6.80000000000000	0	0
6.90000000000000	0	0
7	0	0
7.10000000000000	0	0
7.20000000000000	0	0
7.30000000000000	0	0
7.40000000000000	0	0
7.50000000000000	0	0
7.60000000000000	0	0
7.70000000000000	0	0
7.80000000000000	0	0
7.90000000000000	0	0
8	0	0
8.10000000000000	0	0
8.20000000000000	0	0
8.30000000000000	0	0
8.40000000000000	0	0
8.50000000000000	0	0
8.60000000000000	0	0
8.70000000000000	0	0
8.80000000000000	0	0
8.90000000000000	0	0
9	0	0
9.10000000000000	0	0
9.20000000000000	0	0
9.30000000000000	0	0
9.40000000000000	0	0
9.50000000000000	0	0
9.60000000000000	0	0
9.70000000000000	0	0
9.80000000000000	0	0
9.90000000000000	0	0
10	0	0
10.1000000000000	0	0
10.2000000000000	0	0
10.3000000000000	0	0
10.4000000000000	0	0
10.5000000000000	0	0
10.6000000000000	0	0
10.7000000000000	0	0
10.8000000000000	0	0
10.9000000000000	0	0
11	0	0
11.1000000000000	0	0
11.2000000000000	0	0
11.3000000000000	0	0
11.4000000000000	0	0
11.5000000000000	0	0
11.6000000000000	0	0
11.7000000000000	0	0
11.8000000000000	0	0
11.9000000000000	0	0
12	0	0
12.1000000000000	0	0
12.2000000000000	0	0
12.3000000000000	0	0
12.4000000000000	0	0
12.5000000000000	0	0
12.6000000000000	0	0
12.7000000000000	0	0
12.8000000000000	0	0
12.9000000000000	0	0
13	0	0
13.1000000000000	0	0
13.2000000000000	0	0
13.3000000000000	0	0
13.4000000000000	0	0
13.5000000000000	0	0
13.6000000000000	0	0
13.7000000000000	0	0
13.8000000000000	0	0
13.9000000000000	0	0
14	0	0
14.1000000000000	0	0
14.2000000000000	0	0
14.3000000000000	0	0
14.4000000000000	0	0
14.5000000000000	0	0
14.6000000000000	0	0
14.7000000000000	0	0
14.8000000000000	0	0
14.9000000000000	0	0
15	0	0
15.1000000000000	0	0
15.2000000000000	0	0
15.3000000000000	0	0
15.4000000000000	0	0
15.5000000000000	0	0
15.6000000000000	0	0
15.7000000000000	0	0
15.8000000000000	0	0
15.9000000000000	0	0
16	0	0
16.1000000000000	0	0
16.2000000000000	0	0
16.3000000000000	0	0
16.4000000000000	0	0
16.5000000000000	0	0
16.6000000000000	0	0
16.7000000000000	0	0
16.8000000000000	0	0
16.9000000000000	0	0
17	0	0
17.1000000000000	0	0
17.2000000000000	0	0
17.3000000000000	0	0
17.4000000000000	0	0
17.5000000000000	0	0
17.6000000000000	0	0
17.7000000000000	0	0
17.8000000000000	0	0
17.9000000000000	0	0
18	0	0
18.1000000000000	0	0
18.2000000000000	0	0
18.3000000000000	0	0
18.4000000000000	0	0
18.5000000000000	0	0
18.6000000000000	0	0
18.7000000000000	0	0
18.8000000000000	0	0
18.9000000000000	0	0
19	0	0
19.1000000000000	0	0
19.2000000000000	0	0
19.3000000000000	0	0
19.4000000000000	0	0
19.5000000000000	0	0
19.6000000000000	0	0
19.7000000000000	0	0
19.8000000000000	0	0
19.9000000000000	0	0
20	0	0
